population;n;A;B;D;F;G;M;C;Z;N*;N1a;I;W;X;R;HV;V;H;T;J;U;U2;U3;U4;U5a;U5b;U8;K
BBC;110;0;0;0;0;0;0;0;0;0;0;4;4;2;1;2;2;36;10;10;0;1;0;4;17;8;0;9
HGC;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;0;2;7;21;8;1
HGE;51;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;2;0;0;0;6;0;12;18;9;0;0
HGN;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;9;0;0;0
HGS;58;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;1;0;7;16;16;1;9
LBK;137;0;0;0;0;0;0;0;0;0;18;0;4;3;1;6;4;21;32;15;0;0;1;0;2;2;0;28
LDN;55;0;0;0;0;0;0;0;0;0;6;0;0;2;0;6;3;17;4;3;1;0;0;0;1;3;0;9
UNC;94;0;0;0;0;0;0;0;0;0;0;12;4;5;1;2;4;20;8;6;2;6;0;1;12;2;3;6
YAM;56;0;0;0;0;0;0;2;0;0;1;1;5;1;1;0;0;12;10;1;3;2;0;3;11;0;0;3
CWC;85;0;0;0;0;0;0;0;0;0;0;3;6;2;0;2;0;21;8;11;0;5;0;10;5;4;0;8
